number	sentence	perceptual?	pay attention to?	bearing in mind?	perceptual?IH	pay attention to?IH	bearing in mind?IH	NotesIH	perceptual?MC	pay attention to?MC	bearing in mind?MC	NotesMC	Consensus	Perc	
4	 She was just preparing her evening meal when she was aware of someone coming aboard.	P			P				P	A			0	P	
13	 He was barely aware of the woolly shapes  his own seed demons (although he wasn't cognisant of that particular fact right at that moment)  that skimmed around the darkened room, dainty wan faces within them, some grinning, some tormented, all of them absurd.	P			P				P	A		Partial negation	0	P	
17	 Although wind is something you can't see, we are all aware of its effects on cold, blustery winter days.	P		we feel the effects	P				P	A			0	P	
19	 A most dramatic turn of events! he began and then, becoming aware of Madame Gauthier's fiercely disapproving frown, he gave a conciliatory bow and said, with a meaning glance in Dora's direction, If Madame will permit, I should like to use the salon for a few more minutes.	P			P				P	A			0	P	
40	 As I fiddled frantically with buttons that wouldn't depress and a monopod that wouldn't telescope downwards so I could actually see what professional fingers find in the dark, I became aware of the incredulous stare of a Japanese with an even bigger lens than mine.	P			P				P	A			0	P	
58	 Ten minutes later, as he rang number after number, Edward Carrington was aware of her behind him.	P			P				P	A			0	P	
64	 Yes, said Rebecca, uncomfortably aware of Anna's shocked expression.	P	A	B	P				P	A			0	P	
65	 He started to eat, aware of Siban's insistent presence by his side.	P	A	B	P				P	A			0	P	
78	 I was aware of Sergei and Masha only as invisible presences in the blackness.	P			P				P				0	P	
84	 She was all too horribly aware of the traitorous reactions of her own body as her breasts, covered only by the thin material of a sweatshirt, pressed against his naked chest.	P			P	A			P	A			0	P	
85	 Juliet was suddenly aware of the lowness of the neckline, and the way the rain had caused it to cling to her figure.	P			P	A			P	A			0	P	
86	 Provided that the doctor is satisfied that the patient, when forbidding further treatment, was aware of what he was saying, the short answer must be that he is not in breach of his duty.	P			P				P	A			0	P	
90	 As I did so I became aware of a youngish man with long hair looking at me from the pavemented walk on the Hammersmith side of the river.	P			P				P	A			0	P	
93	Those who cannot hear must feel the rod of correction, she declaimed, raising the stick as she advanced, Martha let out a shriek, leaped to her feet and, barely aware of her action, hit the old woman as hard as she could on the side of the head, knocking her against the wall.	P			P	A			P	A		Partial negation	0	P	
94	 She was staring at herself in the mirror in the curtained dressing-room, wondering what a certain gentleman might do and say if he were to see her in it, when she became aware of hushed voices in the salon outside.	P			P				P	A			0	P	
101	 Belinda blurted dismissively, disturbed to find that Tom had been aware of at least some of Greg's attentions to her that evening.	P	A	B	P				P	A			0	P	
104	 She was breathlessly aware of him and she walked across to the fence that faced the field she could see from her room and stood there looking out into the distance.	P	A	B	P				P	A			0	P	
116	 She drove to escape, not to arrive, like an automaton, gripping the wheel in a trance, hardly aware of her surroundings, the road, the car horns and headlights that blared and flashed around her.	P			P	A			P	A			0	P	
118	 He walked up to him, aware of the ring of his feet on the tiled floor, wondering whether they sounded as portentous to the priest as they did to him.	P			P				P	A			0	P	
119	 Other cutoff points have also been prevalent: quickening, for instance, which is when a woman first becomes aware of fetal movement.	P			P				P	A			0	P	
126	Become aware of your breathing.	P			P	A			P	A			0	P	
138	 It is true that at a rehearsal where the eye has nothing to engage it, a recitative immediately becomes boring; but at the performance, where between the stage and the audience there are so many objects to entertain the eye, a recitative like this is over before the listeners are aware of it.	P			P				P	A		Negation?	0	P	
140	 Can I hope your shiver means you're aware of me and what I have in mind for our entertainment tonight?	P	A	B	P				P	A			0	P	
141	 Carol Jackson rolled onto her back and gazed at the ceiling, aware of the movement from the adjacent room and also of the perspiration that sheathed her body.	P	A		P				P	A			0	P	
143	 Look at everything around you; be aware of the weather; listen to any noises which you might hear.	P	A		P	A			P	A			0	P	
146	 Roman's eyes narrowed and she knew he was as aware of the electricity running between them as she was.	P	A		P				P	A			0	P	
147	 The only way to show  work is to show it either absolutely by itself, in a very plain setting, so that you can notice every detail of how the light falls on it and so on, or to show it with other absolutely minimal works, so again you get this utter simplicity and you become very aware of the space in which the thing is hanging and so on, but there must be a very clear, simple setting, as indeed for new classicism, and I sometimes think that this kind of art is the son or grandson of new classicism, in which incidentally Britain was the leading country.	P		B	P				P	A			0	P	
156	 But, city dweller as she had always been, she had been aware of every sound  the gentle lapping noises of the canal against the side of the boat, the small night sounds of birds and other creatures, and it had been some time before weary body and brain relaxed.	P	A		P				P	A			0	P	
157	 Half listening, half occupied with looking out of the open window at a flock of rooks riding in circles on the breeze, Melissa was vaguely aware of a succession of faint bumping noises in the distance, followed by returning footsteps.	P			P				P				0	P	
161	 She was aware of how pathetic she was sounding, so she forced herself to stop.	P		B	P	A			P	A			0	P	
162	 Come to give a hand, she said, and Cassie was uncomfortably aware of Jenny's round bright eyes upon her, and wished, not for the first time, that her friend were less perceptive.	P	A		P				P	A			0	P	
163	In this second case a person was less aware of the actual stimulus but quickly in tune with his own associations and what he could read between the lines.	P			P				P	A		Less aware = not attending to	0	P	
169	 I couldn't  concentrate on the film at all, I was so aware of her presence beside me in the flickering darkness.	P	A		P				P	A			0	P	
170	 This is just one example of many which encourages all of us to think about the past or the future but never to be aware of the present.	P	A		P	A		present = things around you now	P	A			0	P	
177	 Yes, said Kathleen, and then, hastily, aware of her sister's eye, I mean, no.	P			P				P	A			0	P	
178	 She is aware of women's bodies.	P			P				P	A			0	P	
181	 Black was painfully aware of the silence that followed his last statement.	P	A		P				P	A			0	P	
